Entity,Code,Day,stringency_index
Afghanistan,AFG,2021/9/20,35.19
Afghanistan,AFG,2021/9/21,35.19
Afghanistan,AFG,2021/9/22,35.19
Afghanistan,AFG,2021/9/23,35.19
Afghanistan,AFG,2021/9/24,35.19
Afghanistan,AFG,2021/9/25,35.19
Afghanistan,AFG,2021/9/26,35.19
Afghanistan,AFG,2021/9/27,35.19
Afghanistan,AFG,2021/9/28,35.19
Afghanistan,AFG,2021/9/29,35.19
Afghanistan,AFG,2021/9/30,35.19
Afghanistan,AFG,2021/10/1,35.19
Afghanistan,AFG,2021/10/2,35.19
Afghanistan,AFG,2021/10/3,35.19
Afghanistan,AFG,2021/10/4,35.19
Afghanistan,AFG,2021/10/5,35.19
Afghanistan,AFG,2021/10/6,35.19
Afghanistan,AFG,2021/10/7,35.19
Afghanistan,AFG,2021/10/8,35.19
Afghanistan,AFG,2021/10/9,35.19
Afghanistan,AFG,2021/10/10,35.19
Afghanistan,AFG,2021/10/11,35.19
Afghanistan,AFG,2021/10/12,35.19
Afghanistan,AFG,2021/10/13,35.19
Afghanistan,AFG,2021/10/14,35.19
Afghanistan,AFG,2021/10/15,35.19
Afghanistan,AFG,2021/10/16,35.19
